image,mode,dice,source
J005_Week3_LFOV.nii.gz,binary,0.482637,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J005_Week3.nii\J005_Week3_LFOV_meta.json
J005_Week4_LFOV,binary,0.841695,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J005_Week4.nii\metrics.csv
J005_Week4_LFOV.nii.gz,binary,0.841695,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J005_Week4.nii\J005_Week4_LFOV_meta.json
J026_Week0_LFOV,binary,0.703697,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week0.nii\metrics.csv
J026_Week0_LFOV.nii.gz,binary,0.703697,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week0.nii\J026_Week0_LFOV_meta.json
J026_Week1_LFOV,binary,0.766180,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week1.nii\metrics.csv
J026_Week1_LFOV.nii.gz,binary,0.766180,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week1.nii\J026_Week1_LFOV_meta.json
J026_Week2_LFOV,binary,0.777561,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week2.nii\metrics.csv
J026_Week2_LFOV.nii.gz,binary,0.777561,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week2.nii\J026_Week2_LFOV_meta.json
J026_Week3_LFOV,binary,0.724397,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week3.nii\metrics.csv
J026_Week3_LFOV.nii.gz,binary,0.724397,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week3.nii\J026_Week3_LFOV_meta.json
J026_Week4_LFOV,binary,0.856812,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week4.nii\metrics.csv
J026_Week4_LFOV.nii.gz,binary,0.856812,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week4.nii\J026_Week4_LFOV_meta.json
J026_Week5_LFOV,binary,0.585560,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week5.nii\metrics.csv
J026_Week5_LFOV.nii.gz,binary,0.585560,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week5.nii\J026_Week5_LFOV_meta.json
J026_Week6_LFOV,binary,0.088073,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week6.nii\metrics.csv
J026_Week6_LFOV.nii.gz,binary,0.088073,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\J026_Week6.nii\J026_Week6_LFOV_meta.json
